@_yolisax,"RT @bindasladki: If you aren't okay w posting #MeToo, know this:
1. I believe you.
2. You don't have to speak up to be brave. Living in the after is brave.",http://twitter.com/_yolisax/status/920223498580168705,"October 17, 2017 at 03:12PM"
@AshCarpet,RT @AvgiOnline: Κίνημα κατά της σεξουαλικής παρενόχλησης και κακοποίησης #MeToo στο Twitter https://t.co/I118bBDWJY,http://twitter.com/AshCarpet/status/920223499054190592,"October 17, 2017 at 03:12PM"
@KabirKaBaccha,RT @Kailash111Bhati: @SatlokChannel Wow! Have you ordered these two life changing books on #Dhanteras2017 #MeToo… https://t.co/7NfVTxRDzo,http://twitter.com/KabirKaBaccha/status/920223501377609728,"October 17, 2017 at 03:12PM"
@Sanskari_ladki,"RT @MimaKatt_: The whole #metoo should open our eyes, this is real. It happens to all of us, no matter what gender or skin color we are.",http://twitter.com/Sanskari_ladki/status/920223501541195776,"October 17, 2017 at 03:12PM"
@reina_sabah,"RT @Amaliniii: Really, really hurts that some men see women opening up about trauma &amp; decide to make it all about themselves. #MeToo",http://twitter.com/reina_sabah/status/920223503131009024,"October 17, 2017 at 03:12PM"
@chripoop,"RT @Neece80: For anyone wondering why more women don't report harrassment and/or assault, here is a helpful visual. #MeToo https://t.co/RkwKvffy46",http://twitter.com/chripoop/status/920223504607338496,"October 17, 2017 at 03:12PM"
@fangirlfading,RT @Alyssa_Milano: A moment can create a movement.  This is our moment. This is our movement. #MeToo https://t.co/pt6Rh6Lss4,http://twitter.com/fangirlfading/status/920223507639865344,"October 17, 2017 at 03:12PM"
@SianHerbert,#metoo I'm not sharing the details,http://twitter.com/SianHerbert/status/920223507807657985,"October 17, 2017 at 03:12PM"
@DavidJohnson_27,"RT @thewire_in: #MeToo: Women speak out about sexual abuse, together https://t.co/BTmF2FKBHv https://t.co/1p3IhCApyG",http://twitter.com/DavidJohnson_27/status/920223509153955840,"October 17, 2017 at 03:12PM"
@styleXstyle,#MeToo https://t.co/cjIVycKRPW,http://twitter.com/styleXstyle/status/920223509439160321,"October 17, 2017 at 03:12PM"
@PMPAfterdark,RT @taserstop: Love this!  #metoo https://t.co/PrQejukZ1X,http://twitter.com/PMPAfterdark/status/920223509581791233,"October 17, 2017 at 03:12PM"
@shawn4145,RT @Alyssa_Milano: A moment can create a movement.  This is our moment. This is our movement. #MeToo https://t.co/pt6Rh6Lss4,http://twitter.com/shawn4145/status/920223509808369665,"October 17, 2017 at 03:12PM"
@Nickel67,"RT @keithawynn: The #MeToo posts illustrate an unassailable fact: 

We as men must do better. Must be better. Must act better. It's never ever ever EVER ok.",http://twitter.com/Nickel67/status/920223510366212096,"October 17, 2017 at 03:12PM"
@MargauxVader,#MeToo,http://twitter.com/MargauxVader/status/920223510525595648,"October 17, 2017 at 03:12PM"
@beingmurk,"RT @apbenven: Reminder that if a woman didn't post #MeToo, it doesn't mean she wasn't sexually assaulted or harassed. Survivors don't owe you their story.",http://twitter.com/beingmurk/status/920223510953373696,"October 17, 2017 at 03:12PM"
@_bahampton,RT @DitchtheLabel: The truth behind rape #MeToo https://t.co/YqexuJEfjp,http://twitter.com/_bahampton/status/920223513428054016,"October 17, 2017 at 03:12PM"
@JonasGleek,"RT @JensenAckles: For my wife, for my daughters, for all women...I stand with all of you.  This has gotta change.  #metoo #nomore",http://twitter.com/JonasGleek/status/920223518696108033,"October 17, 2017 at 03:12PM"
@Starlitt792,"RT @naistenlinja: Kaikille teille, joiden #MeToo -kokemuksia vähäteltiin. Me uskomme sinua. Me tuemme sinua. Olet arvokas. Häirinnästä vastuu on tekijällä.",http://twitter.com/Starlitt792/status/920223519291707393,"October 17, 2017 at 03:12PM"
@yuukii1203,"RT @tsukuru_agender: 男性だって性暴力の被害に遭うってこと、忘れずにいよう。性暴力は男性と女性の間にも起こるし、同性同士の間にも起こるんだ。
#MeToo https://t.co/AxT8rxQZsv",http://twitter.com/yuukii1203/status/920223520868646912,"October 17, 2017 at 03:12PM"
@NikitaBarmecha,"#MeToo , also #whohasnot",http://twitter.com/NikitaBarmecha/status/920223522667954176,"October 17, 2017 at 03:12PM"
@SavannahLime,"RT @DandelionSeedz: When all I had was wishes, some saw weeds... #MeToo https://t.co/eFaT9hgYWM",http://twitter.com/SavannahLime/status/920223524459032576,"October 17, 2017 at 03:12PM"
@kateyourmate04,"#MeToo 
https://t.co/CklJN5L3rk",http://twitter.com/kateyourmate04/status/920223526300323840,"October 17, 2017 at 03:12PM"
@RosebellK,The 44-year-old said she began “Me Too” as a grassroots movement to aid sexual assault survivors in underprivileged communities #MeToo,http://twitter.com/RosebellK/status/920223528368164865,"October 17, 2017 at 03:12PM"
@xyz_gaku1971,"RT @katepanda2: 筆者の方が経験したような性被害を受けたことがある女性は少なくない。男性の性被害も深刻。被害に遭ったことがない人も一緒に怒ってほしい。当事者が声をあげるのは非常に大変なことだから。
#MeToo
伊藤詩織さんと全ての声をあげた人たちへ https://t.co/YuB3HiKWns",http://twitter.com/xyz_gaku1971/status/920223529181708288,"October 17, 2017 at 03:12PM"
@transit_star,"#metoo, yes, but we should also go beyond these confessions https://t.co/HhFAtHegLO",http://twitter.com/transit_star/status/920223529357991936,"October 17, 2017 at 03:12PM"
@birtalaufdal,"RT @ingabbjarna: Það virðist vera jafn sjálfsagt fyrir stelpur að byrja á blæðingum og verða fyrir kynferðislegu áreiti.

#metoo",http://twitter.com/birtalaufdal/status/920223530196852737,"October 17, 2017 at 03:12PM"
@DineAbsinthe,"RT @apbenven: Reminder that if a woman didn't post #MeToo, it doesn't mean she wasn't sexually assaulted or harassed. Survivors don't owe you their story.",http://twitter.com/DineAbsinthe/status/920223532059066368,"October 17, 2017 at 03:12PM"
@mennahesham247,"RT @TextualOffender: #MeToo is trending all India. No paid influencers, no contest, no prizes. Just the truth. That should tell us everything.",http://twitter.com/mennahesham247/status/920223532541534208,"October 17, 2017 at 03:12PM"
@all_newsonline1,"Europe Edition: Iraq, Catalonia, #MeToo: Your Tuesday Briefing https://t.co/OD0Tnnc2ti",http://twitter.com/all_newsonline1/status/920223533724327937,"October 17, 2017 at 03:12PM"
@druglilmix,"RT @JensenAckles: For my wife, for my daughters, for all women...I stand with all of you.  This has gotta change.  #metoo #nomore",http://twitter.com/druglilmix/status/920225546440724480,"October 17, 2017 at 03:20PM"
@LisaMoazzeni,RT @DavidBLarsson: Mina tankar om #metoo. Kvinnorna pekar på problemet - nu är det upp till oss män att hitta lösningarna. https://t.co/gv5thPtnTw,http://twitter.com/LisaMoazzeni/status/920225547313172480,"October 17, 2017 at 03:20PM"
@lisacapetownn,As a rule just don't say / do it if you wouldn't want some guy doing / saying that to your mom. #MeToo,http://twitter.com/lisacapetownn/status/920225547443195904,"October 17, 2017 at 03:20PM"
@eMbali_1946,"RT @MorrisTruth: We wouldn't be telling men to protect women if we taught them to respect them in the first place 

#MeToo",http://twitter.com/eMbali_1946/status/920225552568668160,"October 17, 2017 at 03:20PM"
@peterhnorrby,Flera nära har genom #metoo berättat att de blivit utsatta av män. Det gör ont att höra. Det gör ont att ni ska behöva bära de berättelserna,http://twitter.com/peterhnorrby/status/920225554338590722,"October 17, 2017 at 03:20PM"
@omizzz,#MeToo https://t.co/tNCeIxsG5m,http://twitter.com/omizzz/status/920225555492032513,"October 17, 2017 at 03:20PM"
@Firetrench,RT @MonicaLewinsky: #MeToo https://t.co/VWssdltU3n,http://twitter.com/Firetrench/status/920225555991146497,"October 17, 2017 at 03:20PM"
@Robb1112,#metoo,http://twitter.com/Robb1112/status/920225557010411520,"October 17, 2017 at 03:20PM"
@johnbowlingpa,"#WorldFoodDay, #WFD2017 #WFD2017 #food #UNFAO #CFS44 #MeToo #JaiLeSourireQuand #Ophelia https://t.co/Dxv5IgKzUy https://t.co/HR5DQdAnEK",http://twitter.com/johnbowlingpa/status/920225558054785024,"October 17, 2017 at 03:20PM"
@weslinzz,RT @arden_cho: To all the women sharing their stories &amp; pain 👏🏼👏🏼👏🏼 #MeToo I don't know many women who haven't experienced sexual harassment. #NotAlone,http://twitter.com/weslinzz/status/920225558432239616,"October 17, 2017 at 03:20PM"
@JudyMcLarty,"RT @QueenPogba: I'm a Muslim and i cover myself from head to toe, don't let anyone tell you that it's because of the way you dressed. #MeToo",http://twitter.com/JudyMcLarty/status/920225560462204928,"October 17, 2017 at 03:20PM"
@IndivisibleSta1,RT @AmericaFerrera: #MeToo https://t.co/JQRASxZ92R,http://twitter.com/IndivisibleSta1/status/920225560860663808,"October 17, 2017 at 03:20PM"
@RrealDJTrump,"RT @LoriD4Christ: @DWStweets @Alyssa_Milano Do you think #ImranAwan  victims of his assaults should join the #MeToo thread also,  Debbie ?",http://twitter.com/RrealDJTrump/status/920225560931872768,"October 17, 2017 at 03:20PM"
@alli_boland,"RT @apbenven: Reminder that if a woman didn't post #MeToo, it doesn't mean she wasn't sexually assaulted or harassed. Survivors don't owe you their story.",http://twitter.com/alli_boland/status/920225564291620864,"October 17, 2017 at 03:20PM"
@charline__mrc,#metoo #moiaussi #balancetonporc #tristesse #soutien #pourunmondemeilleur .. ?… https://t.co/USBePxWPQy,http://twitter.com/charline__mrc/status/920225564912386049,"October 17, 2017 at 03:20PM"
@Dayanartemis,#MeToo,http://twitter.com/Dayanartemis/status/920225565482897408,"October 17, 2017 at 03:20PM"
@whosthatdogg,"RT @bindasladki: If you aren't okay w posting #MeToo, know this:
1. I believe you.
2. You don't have to speak up to be brave. Living in the after is brave.",http://twitter.com/whosthatdogg/status/920225565541531648,"October 17, 2017 at 03:20PM"
